cover,미쁨 영단어.<break time='100ms'/>Foundation Basic
1_05_2,Keyword. <break time='300ms'/> accordingly.<break time='300ms'/> <say-as interpret-as='characters'>accordingly</say-as><break time='100ms'/> accordingly.
1_05_3,"Accordingly means in a way that is appropriate to the situation, or as a result. Accordingly shows appropriate action or logical consequence. People notice a response that fits the situation. It is an adverb. For example, The rules have changed, so please act accordingly means change your behavior to match the new rules."
1_05_4,그에 따라. 따라서. <break time='300ms'/> accordingly. <break time='300ms'/> 그에 따라. 따라서. <break time='300ms'/> accordingly.
1_05_5,우리는 그에 따라 계획을 변경했다. <break time='300ms'/> We changed our plan accordingly. <break time='300ms'/> 우리는 그에 따라 계획을 변경했다.
1_05_6,We changed our plan accordingly.
1_05_7,우리는 그에 따라 계획을 변경했다.
1_06_1,The supervisor approved the report. <break time='300ms'/> Sixth Sentence. <break time='300ms'/> The supervisor approved the report.
1_06_2,Keyword. <break time='300ms'/> supervisor.<break time='300ms'/> <say-as interpret-as='characters'>supervisor</say-as><break time='100ms'/> supervisor.
1_06_3,"Supervisor refers to a person who watches over and directs the work of others. Supervisor shows person in charge of others. People notice someone managing a team or workers. It is a noun. For example, She reported the problem to her supervisor means the person responsible for overseeing her work."
1_06_4,감독관. 관리자. 지도교수. <break time='300ms'/> supervisor. <break time='300ms'/> 감독관. 관리자. 지도교수. <break time='300ms'/> supervisor.
1_06_5,감독관은 보고서를 승인했다. <break time='300ms'/> The supervisor approved the report. <break time='300ms'/> 감독관은 보고서를 승인했다.
1_06_6,The supervisor approved the report.
1_06_7,감독관은 보고서를 승인했다.
1_07_1,Each applicant must submit a résumé. <break time='300ms'/> Seventh Sentence. <break time='300ms'/> Each applicant must submit a résumé.
1_07_2,Keyword. <break time='300ms'/> applicant.<break time='300ms'/> <say-as interpret-as='characters'>applicant</say-as><break time='100ms'/> applicant.
1_07_3,"Applicant refers to a person who formally applies for something such as a job or a place at university. Applicant shows person making a formal request. People notice someone seeking something through an official process. It is a noun. For example, All applicants must submit their documents by Friday means everyone formally applying must do so by then."
1_07_4,지원자. 신청인. <break time='300ms'/> applicant. <break time='300ms'/> 지원자. 신청인. <break time='300ms'/> applicant.
1_07_5,모든 지원자는 이력서를 제출해야 한다. <break time='300ms'/> Each applicant must submit a résumé. <break time='300ms'/> 모든 지원자는 이력서를 제출해야 한다.
1_07_6,Each applicant must submit a résumé.
1_07_7,모든 지원자는 이력서를 제출해야 한다.
1_08_1,You are eligible to vote at 18. <break time='300ms'/> Eighth Sentence. <break time='300ms'/> You are eligible to vote at 18.
1_08_2,Keyword. <break time='300ms'/> eligible.<break time='300ms'/> <say-as interpret-as='characters'>eligible</say-as><break time='100ms'/> eligible.
1_08_3,"Eligible means meeting the necessary requirements to qualify for something. Eligible shows meeting the conditions required. People notice whether someone is allowed or qualified. It is an adjective. For example, You are eligible to apply if you have two years of experience means you meet the requirements to do so."
1_08_4,자격이 있는. <break time='300ms'/> eligible. <break time='300ms'/> 자격이 있는. <break time='300ms'/> eligible.
1_08_5,18세부터 투표할 수 있습니다. <break time='300ms'/> You are eligible to vote at 18. <break time='300ms'/> 18세부터 투표할 수 있습니다.
1_08_6,You are eligible to vote at 18.
1_08_7,18세부터 투표할 수 있습니다.
1_09_1,Please send your resume by email. <break time='300ms'/> Ninth Sentence. <break time='300ms'/> Please send your resume by email.
1_09_2,Keyword. <break time='300ms'/> resume.<break time='300ms'/> <say-as interpret-as='characters'>resume</say-as><break time='100ms'/> resume.
1_09_3,"Resume means to start again after stopping, or a document listing work experience and skills. Resume shows restarting or employment document. People notice continuing after a break or a job application document. It is a verb or noun. For example, She resumed work after her vacation means started again after stopping."
1_09_4,다시 시작하다. 이력서. <break time='300ms'/> resume. <break time='300ms'/> 다시 시작하다. 이력서. <break time='300ms'/> resume.
1_09_5,이력서를 이메일로 보내주세요. <break time='300ms'/> Please send your resume by email. <break time='300ms'/> 이력서를 이메일로 보내주세요.
1_09_6,Please send your resume by email.
1_09_7,이력서를 이메일로 보내주세요.
1_10_1,I received an invoice today. <break time='300ms'/> Tenth Sentence. <break time='300ms'/> I received an invoice today.
1_10_2,Keyword. <break time='300ms'/> invoice.<break time='300ms'/> <say-as interpret-as='characters'>invoice</say-as><break time='100ms'/> invoice.
1_10_3,"Invoice refers to an official document listing goods or services provided and the amount owed. Invoice shows official payment request document. People notice a bill showing what must be paid. It is a noun or verb. For example, The company sent an invoice for the work completed means a document requesting payment for the service."
1_10_4,송장. 청구서. 청구서를 발행하다. <break time='300ms'/> invoice. <break time='300ms'/> 송장. 청구서. 청구서를 발행하다. <break time='300ms'/> invoice.
1_10_5,오늘 청구서를 받았습니다. <break time='300ms'/> I received an invoice today. <break time='300ms'/> 오늘 청구서를 받았습니다.
1_10_6,I received an invoice today.
1_10_7,오늘 청구서를 받았습니다.
1_11_1,This phone has a warranty. <break time='300ms'/> Eleventh Sentence. <break time='300ms'/> This phone has a warranty.
1_11_2,Keyword. <break time='300ms'/> warranty.<break time='300ms'/> <say-as interpret-as='characters'>warranty</say-as><break time='100ms'/> warranty.
1_11_3,"Warranty refers to a written guarantee that a product will be repaired or replaced if it has problems within a set time. Warranty shows official product guarantee. People notice a promise of repair or replacement. It is a noun. For example, The washing machine comes with a two-year warranty means if it breaks within two years, it will be fixed or replaced at no extra cost."
1_11_4,품질보증서. 보장. <break time='300ms'/> warranty. <break time='300ms'/> 품질보증서. 보장. <break time='300ms'/> warranty.
1_11_5,이 휴대폰은 보증 기간이 남아 있습니다. <break time='300ms'/> This phone has a warranty. <break time='300ms'/> 이 휴대폰은 보증 기간이 남아 있습니다.
1_11_6,This phone has a warranty.
1_11_7,이 휴대폰은 보증 기간이 남아 있습니다.
1_12_1,I want a refund for the broken product. <break time='300ms'/> Twelfth Sentence. <break time='300ms'/> I want a refund for the broken product.
1_12_2,Keyword. <break time='300ms'/> refund.<break time='300ms'/> <say-as interpret-as='characters'>refund</say-as><break time='100ms'/> refund.
1_12_3,"Refund refers to a sum of money returned to a customer when goods or services are unsatisfactory. Refund shows returned money. People notice money given back after a complaint or return. It is a noun or verb. For example, She requested a refund because the product was damaged means she asked for her money back."
1_12_4,환불. 환급하다. <break time='300ms'/> refund. <break time='300ms'/> 환불. 환급하다. <break time='300ms'/> refund.
1_12_5,고장난 제품에 대한 환불을 원합니다. <break time='300ms'/> I want a refund for the broken product. <break time='300ms'/> 고장난 제품에 대한 환불을 원합니다.
1_12_6,I want a refund for the broken product.
1_12_7,고장난 제품에 대한 환불을 원합니다.
1_13_1,The street vendor sells snacks. <break time='300ms'/> Thirteenth Sentence. <break time='300ms'/> The street vendor sells snacks.
1_13_2,Keyword. <break time='300ms'/> vendor.<break time='300ms'/> <say-as interpret-as='characters'>vendor</say-as><break time='100ms'/> vendor.
1_13_3,"Vendor refers to a person or company that sells goods or services. Vendor shows seller. People notice someone supplying goods. It is a noun. For example, The vendor offered a discount on bulk orders means the seller reduced the price."
1_13_4,판매자. 노점상. <break time='300ms'/> vendor. <break time='300ms'/> 판매자. 노점상. <break time='300ms'/> vendor.
1_13_5,노점상이 간식을 팔고 있습니다. <break time='300ms'/> The street vendor sells snacks. <break time='300ms'/> 노점상이 간식을 팔고 있습니다.
1_13_6,The street vendor sells snacks.
1_13_7,노점상이 간식을 팔고 있습니다.
1_14_1,The shipment arrived on time. <break time='300ms'/> Fourteenth Sentence. <break time='300ms'/> The shipment arrived on time.
1_14_2,Keyword. <break time='300ms'/> shipment.<break time='300ms'/> <say-as interpret-as='characters'>shipment</say-as><break time='100ms'/> shipment.
1_14_3,"Shipment refers to a quantity of goods transported together. Shipment shows transported goods. People notice a batch of items being moved. It is a noun. For example, The shipment arrived at the warehouse on Tuesday means the batch of goods was delivered that day."
1_14_4,배송. 선적물. <break time='300ms'/> shipment. <break time='300ms'/> 배송. 선적물. <break time='300ms'/> shipment.
1_14_5,배송물이 제때 도착했습니다. <break time='300ms'/> The shipment arrived on time. <break time='300ms'/> 배송물이 제때 도착했습니다.
1_14_6,The shipment arrived on time.
1_14_7,배송물이 제때 도착했습니다.
1_15_1,Don’t forget to get your receipt. <break time='300ms'/> Fifteenth Sentence. <break time='300ms'/> Don’t forget to get your receipt.
1_15_2,Keyword. <break time='300ms'/> receipt.<break time='300ms'/> <say-as interpret-as='characters'>receipt</say-as><break time='100ms'/> receipt.
1_15_3,"Receipt refers to a written document confirming that money has been paid or goods have been received. Receipt shows proof of payment or delivery. People notice a document confirming a transaction. It is a noun. For example, Keep your receipt in case you need to return the item means the document proving you paid for it."
1_15_4,영수증. 수령. 받음. <break time='300ms'/> receipt. <break time='300ms'/> 영수증. 수령. 받음. <break time='300ms'/> receipt.
1_15_5,영수증을 받는 것을 잊지 마세요. <break time='300ms'/> Don’t forget to get your receipt. <break time='300ms'/> 영수증을 받는 것을 잊지 마세요.
1_15_6,Don’t forget to get your receipt.
1_15_7,영수증을 받는 것을 잊지 마세요.
1_16_1,I made an itinerary for the trip. <break time='300ms'/> Sixteenth Sentence. <break time='300ms'/> I made an itinerary for the trip.
1_16_2,Keyword. <break time='300ms'/> itinerary.<break time='300ms'/> <say-as interpret-as='characters'>itinerary</say-as><break time='100ms'/> itinerary.
1_16_3,"Itinerary refers to a detailed plan or schedule of a journey, listing places to visit and times. Itinerary shows travel plan schedule. People notice an organized list of travel activities. It is a noun. For example, The travel agent provided a full itinerary for the trip means a document listing every stop and activity during the journey."
1_16_4,여행 일정표. 여정. <break time='300ms'/> itinerary. <break time='300ms'/> 여행 일정표. 여정. <break time='300ms'/> itinerary.
1_16_5,여행 일정을 짰습니다. <break time='300ms'/> I made an itinerary for the trip. <break time='300ms'/> 여행 일정을 짰습니다.
1_16_6,I made an itinerary for the trip.
1_16_7,여행 일정을 짰습니다.
1_17_1,I have a reservation at the hotel. <break time='300ms'/> Seventeenth Sentence. <break time='300ms'/> I have a reservation at the hotel.
1_17_2,Keyword. <break time='300ms'/> reservation.<break time='300ms'/> <say-as interpret-as='characters'>reservation</say-as><break time='100ms'/> reservation.
1_17_3,"Reservation refers to an arrangement to have something kept for your use at a future time, such as a table at a restaurant or a hotel room. Reservation shows advance booking. People notice something set aside for them in advance. It is a noun. For example, She made a reservation at the restaurant for seven oclock means she arranged in advance to have a table available at that time."
1_17_4,예약. 보호구역. 의구심. <break time='300ms'/> reservation. <break time='300ms'/> 예약. 보호구역. 의구심. <break time='300ms'/> reservation.
1_17_5,호텔 예약을 마쳤습니다. <break time='300ms'/> I have a reservation at the hotel. <break time='300ms'/> 호텔 예약을 마쳤습니다.
1_17_6,I have a reservation at the hotel.
1_17_7,호텔 예약을 마쳤습니다.
1_18_1,My luggage is heavy. <break time='300ms'/> Eighteenth Sentence. <break time='300ms'/> My luggage is heavy.
1_18_2,Keyword. <break time='300ms'/> luggage.<break time='300ms'/> <say-as interpret-as='characters'>luggage</say-as><break time='100ms'/> luggage.
1_18_3,"Luggage refers to bags and suitcases that a traveler carries. Luggage shows travel bags and cases. People notice the bags someone brings on a trip. It is a noun. For example, She checked her luggage at the airport before boarding means her bags were registered and stored in the aircraft."
1_18_4,짐. 여행 가방. <break time='300ms'/> luggage. <break time='300ms'/> 짐. 여행 가방. <break time='300ms'/> luggage.
1_18_5,제 짐이 무겁습니다. <break time='300ms'/> My luggage is heavy. <break time='300ms'/> 제 짐이 무겁습니다.
1_18_6,My luggage is heavy.
1_18_7,제 짐이 무겁습니다.
1_19_1,The flight attendant smiled kindly. <break time='300ms'/> Nineteenth Sentence. <break time='300ms'/> The flight attendant smiled kindly.
1_19_2,Keyword. <break time='300ms'/> attendant.<break time='300ms'/> <say-as interpret-as='characters'>attendant</say-as><break time='100ms'/> attendant.
1_19_3,"Attendant refers to a person who assists or serves others in a specific place. Attendant shows serving person. People notice someone whose job is to help. It is a noun. For example, The flight attendant served drinks means the person whose job is to help passengers on the plane."
1_19_4,종업원. 승무원. <break time='300ms'/> attendant. <break time='300ms'/> 종업원. 승무원. <break time='300ms'/> attendant.
1_19_5,승무원이 친절하게 미소 지었어요. <break time='300ms'/> The flight attendant smiled kindly. <break time='300ms'/> 승무원이 친절하게 미소 지었어요.
1_19_6,The flight attendant smiled kindly.
1_19_7,승무원이 친절하게 미소 지었어요.
1_20_1,She picked up a travel brochure at the airport. <break time='300ms'/> Twentieth Sentence. <break time='300ms'/> She picked up a travel brochure at the airport.
1_20_2,Keyword. <break time='300ms'/> brochure.<break time='300ms'/> <say-as interpret-as='characters'>brochure</say-as><break time='100ms'/> brochure.
1_20_3,"Brochure refers to a small booklet or folded sheet containing information about a product, service, or place. Brochure shows promotional informational booklet. People notice a printed document used to share information or advertise. It is a noun. For example, She picked up a brochure about the hotel at the tourist office means a small printed booklet describing the hotel."
1_20_4,소책자. 안내 책자. <break time='300ms'/> brochure. <break time='300ms'/> 소책자. 안내 책자. <break time='300ms'/> brochure.
1_20_5,그녀는 공항에서 여행 안내 책자를 집어 들었습니다. <break time='300ms'/> She picked up a travel brochure at the airport. <break time='300ms'/> 그녀는 공항에서 여행 안내 책자를 집어 들었습니다.
1_20_6,She picked up a travel brochure at the airport.
1_20_7,그녀는 공항에서 여행 안내 책자를 집어 들었습니다.
1_21_1,The store sells new merchandise every week. <break time='300ms'/> Twenty-First Sentence. <break time='300ms'/> The store sells new merchandise every week.
1_21_2,Keyword. <break time='300ms'/> merchandise.<break time='300ms'/> <say-as interpret-as='characters'>merchandise</say-as><break time='100ms'/> merchandise.
1_21_3,"Merchandise refers to goods that are bought and sold. Merchandise shows tradeable goods. People notice products available for purchase. It is a noun. For example, The store had a wide range of merchandise on display means many different types of goods available to buy."
1_21_4,상품. 물품. <break time='300ms'/> merchandise. <break time='300ms'/> 상품. 물품. <break time='300ms'/> merchandise.
1_21_5,그 가게는 매주 새로운 상품을 판매합니다. <break time='300ms'/> The store sells new merchandise every week. <break time='300ms'/> 그 가게는 매주 새로운 상품을 판매합니다.
1_21_6,The store sells new merchandise every week.
1_21_7,그 가게는 매주 새로운 상품을 판매합니다.
1_22_1,My magazine subscription expires next month. <break time='300ms'/> Twenty-Second Sentence. <break time='300ms'/> My magazine subscription expires next month.
1_22_2,Keyword. <break time='300ms'/> subscription.<break time='300ms'/> <say-as interpret-as='characters'>subscription</say-as><break time='100ms'/> subscription.
1_22_3,"Subscription refers to an arrangement where you pay regularly to receive a service or publication. Subscription shows regular payment for continued access. People notice a regular payment for ongoing access. It is a noun. For example, She has a monthly subscription to a streaming service means she pays each month to continue using it."
1_22_4,구독. 가입. 기부금. <break time='300ms'/> subscription. <break time='300ms'/> 구독. 가입. 기부금. <break time='300ms'/> subscription.
1_22_5,내 잡지 구독은 다음 달에 만료된다. <break time='300ms'/> My magazine subscription expires next month. <break time='300ms'/> 내 잡지 구독은 다음 달에 만료된다.
1_22_6,My magazine subscription expires next month.
1_22_7,내 잡지 구독은 다음 달에 만료된다.
1_23_1,The old theater is closed for renovation. <break time='300ms'/> Twenty-Third Sentence. <break time='300ms'/> The old theater is closed for renovation.
1_23_2,Keyword. <break time='300ms'/> renovation.<break time='300ms'/> <say-as interpret-as='characters'>renovation</say-as><break time='100ms'/> renovation.
1_23_3,"Renovation refers to the process of repairing and improving a building or room. Renovation shows repair and improvement work. People notice construction activity to make a place better. It is a noun. For example, The kitchen is closed for renovation means it is being repaired and improved and is temporarily unavailable."
1_23_4,개조. 수리. 리노베이션. <break time='300ms'/> renovation. <break time='300ms'/> 개조. 수리. 리노베이션. <break time='300ms'/> renovation.
1_23_5,옛 극장은 보수 공사로 문을 닫았습니다. <break time='300ms'/> The old theater is closed for renovation. <break time='300ms'/> 옛 극장은 보수 공사로 문을 닫았습니다.
1_23_6,The old theater is closed for renovation.
1_23_7,옛 극장은 보수 공사로 문을 닫았습니다.
